,,,,,,
IBEX 35®,"7.680,50","1,79","7.739,60","7.570,00",24/10/2022,"-11,86"
IBEX 35® con Dividendos,"24.393,70","1,79","24.581,40","24.042,60",24/10/2022,"-9,24"
IBEX MEDIUM CAP®,"12.444,90","1,99","12.493,70","12.232,10",24/10/2022,"-9,92"
IBEX SMALL CAP®,"6.584,00","-0,37","6.682,70","6.580,40",24/10/2022,"-20,11"
IBEX 35® Bancos,"498,00","2,26","502,00","488,70",24/10/2022,"7,56"
IBEX 35® Energía,"1.288,10","1,47","1.300,00","1.269,40",24/10/2022,"-4,56"
IBEX 35® Construcción,"1.515,40","2,05","1.525,40","1.497,60",24/10/2022,"-5,06"
IBEX Gender Equality,"7.680,70","0,81","7.722,20","7.620,80",24/10/2022,"-11,82"
IBEX Gender Equality Total Return,"8.731,30","0,81","8.778,50","8.663,20",24/10/2022,"-9,84"
IBEX Gender Equality Net Return,"8.526,30","0,81","8.572,40","8.459,80",24/10/2022,"-10,21"
IBEX TOP Dividendo®,"2.369,90","1,07","2.381,40","2.344,20",24/10/2022,"-5,15"
IBEX 35® con Dividendos Netos,"20.278,80","1,79","20.434,80","19.986,90",24/10/2022,"-9,74"
IBEX 35® Inverso,"2.326,70","-1,78","2.361,40","2.308,10",24/10/2022,"6,35"
IBEX 35® Doble Inverso,"258,90","-3,58","266,80","254,70",24/10/2022,"8,96"
IBEX 35® Inverso X3,"10.331,20","-5,35","10.810,90","10.074,70",24/10/2022,"8,05"
IBEX 35® Inverso X5,"926,20","-8,92","1.000,70","886,40",24/10/2022,"-4,85"
IBEX 35® Inverso X10,"6.445,30","-17,84","7.594,60","5.830,90",24/10/2022,"313,74"
IBEX 35® Doble Apalancado,"2.972,20","3,57","3.017,20","2.888,20",24/10/2022,"-25,12"
IBEX 35® Doble Apalancado Bruto,"15.040,10","3,57","15.267,60","14.614,60",24/10/2022,"-20,59"
IBEX 35® Doble Apalancado Neto,"12.339,90","3,57","12.526,50","11.990,80",24/10/2022,"-21,45"
IBEX 35® Apalancado X3,"328,40","5,36","335,70","314,70",24/10/2022,"-38,52"
IBEX 35® Apalancado Neto X3,"4.245,80","5,35","4.340,50","4.068,70",24/10/2022,"-34,05"
IBEX 35® Apalancado Neto X5,"137,80","8,93","142,70","128,50",24/10/2022,"-58,24"
IBEX 35® Apalancado Neto X10,"14.335,20","17,83","15.287,80","12.552,60",24/10/2022,"726,29"
IBEX 35® Capped Net Return,"20.334,30","1,79","20.490,70","20.041,60",24/10/2022,"-9,74"
IBEX 35® Impacto Div,"249,50",- ,"249,50","249,50",24/10/2022,- 
IBEX 35® Volatilidad Objetivo 10% Estándar,"166,60","0,91","167,30","165,40",24/10/2022,"-6,56"
IBEX 35® Volatilidad Objetivo 12% Estándar,"170,30","1,13","171,10","168,70",24/10/2022,"-7,50"
IBEX 35® Volatilidad Objetivo 15% Estándar,"169,60","1,37","170,60","167,70",24/10/2022,"-9,84"
IBEX 35® Volatilidad Objetivo 18% Estándar,"164,90","1,66","166,10","162,70",24/10/2022,"-11,77"
IBEX 35® Volatilidad Objetivo 10% Financiado,"120,00","0,93","120,50","119,10",24/10/2022,"-6,83"
IBEX 35® Volatilidad Objetivo 12% Financiado,"121,60","1,08","122,20","120,50",24/10/2022,"-7,95"
IBEX 35® Volatilidad Objetivo 15% Financiado,"123,80","1,39","124,50","122,40",24/10/2022,"-9,70"
IBEX 35® Volatilidad Objetivo 18% Financiado,"115,60","1,67","116,40","114,00",24/10/2022,"-11,69"
VIBEX®,"22,47","-0,84","22,47","22,47",24/10/2022,"28,47"
IBEX 35® Skew,"4,31","6,42","4,31","4,31",24/10/2022,"-23,31"
IBEX 35® BuyWrite,"1.370,34","1,42","1.370,34","1.370,34",24/10/2022,"-3,40"
IBEX 35® PutWrite,"1.483,22","0,79","1.483,22","1.483,22",24/10/2022,"7,79"
IBEX 35® Protective Put,"568,90","1,31","568,90","568,90",24/10/2022,"-16,88"
IBEX 35® Venta de Strangle,"1.652,17","0,16","1.652,17","1.652,17",24/10/2022,"13,72"
"IBEX 35® TR Decrement 4,5%","7.622,80","1,75","7.681,50","7.513,00",24/10/2022,"-12,52"
IBEX 35® TR Decrement 5%,"7.591,80","1,75","7.650,30","7.482,50",24/10/2022,"-12,88"
IBEX 35® TR Decrement 400P,"7.600,40","1,74","7.658,90","7.490,90",24/10/2022,"-12,78"
IBEX 35® TR Decrement 450P,"7.562,10","1,74","7.620,30","7.453,20",24/10/2022,"-13,22"
IBEX TOP Dividendo® Rentabilidad,"6.877,50","1,07","6.910,70","6.803,00",24/10/2022,"-0,99"
IBEX TOP Dividendo® Rentabilidad Neta,"5.618,20","1,07","5.645,30","5.557,30",24/10/2022,"-1,77"
